customer_id,age,annual_income,total_trips,avg_spend_per_trip,loyalty_years,membership_tier,num_complaints,days_since_last_trip,onboard_spend,referrals_made,cancelled_trips
C053,42,80000,10,5200,6,Gold,0,31,1280,3,0
C054,24,30000,1,700,1,Silver,0,18,120,0,0
C055,56,120000,22,9300,14,Platinum,1,15,2420,5,1
C056,39,74000,9,4500,5,Gold,0,37,1080,2,0
C057,49,92000,15,7400,10,Gold,1,23,1880,3,1
C058,31,46000,3,1600,2,Silver,0,41,380,1,0
C059,61,128000,24,9900,16,Platinum,2,82,2720,3,2
C060,45,86000,13,6700,8,Gold,0,27,1630,3,0
C061,28,38000,2,1150,1,Silver,0,47,230,0,0
C062,54,116000,21,9100,13,Platinum,1,14,2380,5,1
C063,37,68000,8,3900,5,Gold,0,32,960,2,0
C064,62,102000,23,9600,15,Platinum,2,86,2680,3,2
C065,30,43000,3,1500,2,Silver,0,49,340,1,0
C066,47,90000,14,7100,9,Gold,1,25,1820,3,1
C067,40,76000,10,4800,6,Gold,0,30,1180,2,0
C068,57,112000,20,9000,13,Platinum,1,15,2340,5,1
C069,27,37000,2,1050,1,Silver,0,24,190,0,0
C070,53,114000,19,8800,12,Platinum,1,17,2180,4,1
C071,34,58000,5,2600,3,Silver,0,60,620,1,0
C072,65,106000,25,10300,16,Platinum,2,98,2820,2,2
C073,43,82000,11,5600,7,Gold,0,29,1370,3,0
C074,25,31000,1,780,1,Silver,0,21,140,0,0
C075,55,118000,21,9200,14,Platinum,1,16,2440,5,1
C076,38,72000,9,4200,5,Gold,0,35,1020,2,0
C077,50,96000,16,7700,10,Gold,0,22,1980,4,0
C078,32,48000,4,1800,2,Silver,0,43,420,1,0
C079,60,126000,25,10400,17,Platinum,2,78,2880,4,2
C080,46,88000,13,6600,8,Gold,0,26,1610,3,0
C081,29,41000,2,1200,1,Silver,0,51,260,0,0
C082,52,104000,18,8400,11,Platinum,1,18,2120,4,1
C083,39,74000,8,4100,5,Gold,0,33,990,2,0
C084,63,104000,24,9800,16,Platinum,2,90,2700,3,2
C085,27,35000,1,820,1,Silver,0,20,150,0,0
C086,44,84000,12,6500,8,Gold,1,27,1600,3,1
C087,36,66000,7,3500,4,Gold,0,39,860,2,0
C088,58,116000,21,9100,14,Platinum,1,14,2360,5,1
C089,26,33000,1,730,1,Silver,0,19,125,0,0
C090,54,118000,20,9000,13,Platinum,1,16,2300,4,1
C091,41,78000,10,5100,6,Gold,0,30,1240,2,0
C092,23,28000,1,680,1,Silver,0,17,110,0,0
C093,67,110000,27,10600,18,Platinum,3,110,2950,2,3
C094,48,92000,15,7300,10,Gold,1,24,1860,3,1
C095,33,56000,5,2400,3,Silver,0,62,580,1,0
C096,59,124000,23,9700,15,Platinum,2,83,2660,3,2
C097,42,80000,11,5400,7,Gold,0,31,1320,2,0
C098,30,44000,3,1550,2,Silver,0,45,360,1,0
C099,51,100000,17,7900,11,Platinum,1,20,2020,4,1
C100,37,70000,8,3700,5,Gold,0,36,920,2,0
